,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
1,1.0,301,147,64,67
2,1.0,1502,87,57,53
3,1.0,301,139,65,64
4,1.0,301,159,69,67
5,1.0,1502,128,64,62
6,1.0,301,83,56,52
7,1.0,1502,94,57,55
8,1.0,102,129,63.7,62.1
9,1.0,1502,105,60,59
10,1.0,301,125,63,61
11,1.0,1502,113,60,58
12,1.0,102,144,66.8,64.4
13,1.0,1502,130,63,61
14,1.0,902,173,69.5,67.3
15,1.0,102,138,65.2,64.6
16,1.0,1502,119,62,60
17,1.0,301,125,61,62
18,1.0,102,129,64.8,62.3
19,1.0,1502,135,66,65
20,1.0,301,155,65,67
21,1.0,1502,74,53,51
22,1.0,1002,162,69.3,68.2
23,1.0,102,118,59.8,61.2
24,1.0,301,117,59,62
25,1.0,1502,93,57,55
26,1.0,301,109,60,57
27,1.0,1502,82,54,51
28,1.0,1502,116,58,56
29,1.0,1502,106,60,59
30,1.0,102,129,64.7,63.9
31,1.0,301,129,61,64
32,1.0,1502,100,56,56
33,1.0,301,106,58,60
34,1.0,102,133,64.3,64.7
35,1.0,1502,122,64,61
36,1.0,1502,84,53,54
37,1.0,1502,150,67,69
38,1.0,1502,142,65,66
39,1.0,1502,165,67,69
40,1.0,1502,98,58,56
41,1.0,102,160,68.1,66.1
42,1.0,301,157,62,69
43,1.0,102,77,54.6,49.3
44,1.0,902,197,69,76.9
45,1.0,301,94,57,58
46,1.0,102,165,67.7,68.6
47,1.0,102,94,57,55.1
48,1.0,102,127,62.7,60.8
49,1.0,102,140,65.2,64.2
50,1.0,1502,193,74,74
51,1.0,301,166,66,69
52,1.0,1502,142,65,67
53,1.0,301,125,63,63
54,1.0,102,130,64,62.1
55,1.0,301,122,61,60
56,1.0,1502,119,63,64
57,1.0,1002,188,73.1,70.9
58,1.0,1502,89,57,54
59,1.0,102,116,60,62.1
60,1.0,902,164,70.5,68.8
61,1.0,301,89,55,55
62,1.0,902,181,70.8,71.2
63,1.0,102,160,68.1,68.1
64,1.0,1002,174,69.3,70.9
65,1.0,301,90,56,54
66,1.0,902,198,72.1,72.7
67,1.0,301,91,58,54
68,1.0,1502,164,67,70
69,1.0,1502,126,63,65
70,1.0,1502,110,61,58
71,1.0,102,143,66.1,65.1
72,1.0,301,154,64,68
73,1.0,102,172,70,68.8
74,1.0,1502,91,55,55
75,1.0,1502,133,65,63
76,1.0,301,149,65,67
77,1.0,102,143,65.8,63.7
78,1.0,301,80,52,51
79,1.0,102,113,61.3,57.1
80,1.0,301,104,58,60
81,1.0,301,78,53,51
82,1.0,902,160,68.3,68.2
83,1.0,1502,169,69,72
84,1.0,301,150,65,66
85,1.0,102,168,68.1,69.4
86,1.0,1502,92,59,60
87,1.0,301,97,60,55
88,1.0,1002,141,68,63.2
89,1.0,1502,106,60,57
90,1.0,1002,200,73.1,75.9
91,1.0,1002,138,66.1,63.7
92,1.0,102,137,62.5,63.3
93,1.0,902,129,62.1,62.2
94,1.0,301,124,62,60
95,1.0,301,112,61,60
96,1.0,102,113,61.3,58.1
97,1.0,1502,202,74,77
98,1.0,1502,123,63,61
99,1.0,1502,96,56,57
100,1.0,102,126,63.4,61.9
101,1.0,1502,87,57,54
102,1.0,1502,138,64,62
103,1.0,1502,79,56,53
104,1.0,102,109,58.2,59.8
105,1.0,1502,161,69,71
106,1.0,301,159,67,68
107,1.0,1002,198,69.3,72.3
108,1.0,102,121,67.9,60.7
109,1.0,102,145,64,65.1
110,1.0,902,149,65.1,66.2
111,1.0,1502,109,58,55
112,1.0,1502,124,63,60
113,1.0,102,214,79.6,71.1
114,1.0,102,128,63.3,61.6
115,1.0,1502,81,53,52
116,1.0,301,117,62,60
117,1.0,102,144,64.8,63.1
118,1.0,1502,102,60,58
119,1.0,301,111,62,58
120,1.0,102,123,62.6,64.2
121,1.0,301,110,61,61
122,1.0,1502,88,57,54
123,1.0,102,155,65.5,67.7
124,1.0,1502,123,64,64
125,1.0,1502,105,58,57
126,1.0,1502,106,58,57
127,1.0,1502,170,69,71
128,1.0,1002,126,61.7,60.9
129,1.0,301,133,67,65
130,1.0,1502,99,58,54
131,1.0,301,128,60,64
132,1.0,1502,95,61,59
133,1.0,1502,148,64,64
134,1.0,1502,136,65,62
135,1.0,102,93,56.7,56.6
136,1.0,301,110,60,57
137,1.0,301,108,55,61
138,1.0,102,138,65.5,64.6
139,1.0,1502,110,61,58
140,1.0,301,142,63,66
141,1.0,1502,168,68,72
142,1.0,1502,166,68,70
143,1.0,301,129,63,62
144,1.0,902,151,67,66.2
145,1.0,1502,96,58,55
146,1.0,902,120,64.3,59.9
147,1.0,301,92,58,55
148,1.0,1502,156,66,67
149,1.0,1502,176,70,72
150,1.0,1502,121,61,60
151,1.0,902,168,69.3,70
152,1.0,1502,98,58,56
153,1.0,301,78,52,53
154,1.0,301,136,64,63
155,1.0,1502,106,58,58
156,1.0,1002,182,69.9,71.7
157,1.0,1502,101,58,58
158,1.0,1502,96,58,54
159,1.0,1502,146,69,70
160,1.0,902,191,71.1,73.1
161,1.0,301,86,55,55
162,1.0,1502,138,66,65
163,1.0,1502,96,57,55
164,1.0,1002,182,69.9,72.3
165,1.0,1502,129,64,58
166,1.0,1502,152,68,71
167,1.0,301,136,60,63
168,1.0,1002,180,70.1,70.4
169,1.0,902,182,69.8,71.5
170,1.0,1502,179,70,72
171,1.0,301,153,64,66
172,1.0,1502,105,60,59
173,1.0,1502,142,65,66
174,1.0,1502,107,61,58
175,1.0,1502,104,60,56
176,1.0,1502,137,64,65
177,1.0,301,142,63,63
178,1.0,1502,130,64,65
179,1.0,1502,91,57,59
180,1.0,1502,135,64,63
181,1.0,102,110,60.8,63.9
182,1.0,301,147,65,66
183,1.0,301,92,55,51
184,1.0,1502,157,68,71
185,1.0,1502,99,57,54
186,1.0,301,105,59,55
187,1.0,902,172,68.4,69.1
188,1.0,301,133,64,63
189,1.0,1502,102,61,58
190,1.0,301,102,57,56
191,1.0,1502,145,68,68
192,1.0,301,101,61,54
193,1.0,1502,131,65,59
194,1.0,1002,182,70.3,68.9
195,1.0,1502,71,52,50
196,1.0,301,126,62,62
197,1.0,1002,217,74.9,76.2
198,1.0,102,161,66.8,68.4
199,1.0,301,126,63,61
200,1.0,902,179,68.4,70.9
201,1.0,301,115,60,60
202,1.0,1502,123,64,64
203,1.0,301,175,68,71
204,1.0,102,111,63.1,60.5
205,1.0,1502,120,63,64
206,1.0,102,111,62,59.1
207,1.0,301,132,62,62
208,1.0,1502,112,60,61
209,1.0,301,118,57,63
210,1.0,301,114,57,59
211,1.0,902,146,65.1,64.4
212,1.0,102,129,63.3,62.1
213,1.0,301,127,60,60
214,1.0,1502,108,62,61
215,1.0,301,138,60,69
216,1.0,301,97,56,55
217,1.0,301,179,68,70
218,1.0,301,176,71,70
219,1.0,301,152,64,72
220,1.0,102,165,68.2,69.1
221,1.0,301,122,64,60
222,1.0,902,158,68.2,66.8
223,1.0,1502,136,63,63
224,1.0,301,121,58,61
225,1.0,301,119,56,60
226,1.0,301,101,57,58
227,1.0,102,129,62.5,62.7
228,1.0,1502,131,67,67
229,1.0,301,198,70,75
230,1.0,301,105,58,58
231,1.0,1502,124,61,59
232,1.0,301,125,61,60
233,1.0,1502,121,62,60
234,1.0,301,101,55,59
235,1.0,301,108,61,59
236,1.0,1002,126,63.2,60.9
237,1.0,301,149,65,65
238,1.0,1502,118,60,59
239,1.0,102,152,65.9,65.6
240,1.0,102,111,59.1,58.8
241,1.0,102,104,59.5,57.2
242,1.0,1502,180,70,73
243,1.0,301,156,65,69
244,1.0,301,139,63,65
245,1.0,301,134,61,65
246,1.0,1502,149,67,69
247,1.0,301,147,63,66
248,1.0,1502,111,59,57
249,1.0,1502,79,55,56
250,1.0,1502,88,56,53
251,1.0,301,135,61,63
252,1.0,1502,142,65,67
253,1.0,301,119,61,62
254,1.0,301,192,68,71
255,1.0,1002,112,63.7,61
256,1.0,301,132,62,64
257,1.0,301,99,59,57
258,1.0,1502,132,64,63
259,1.0,301,91,58,55
260,1.0,1502,105,57,54
261,1.0,301,81,53,52
262,1.0,1002,211,75.3,74.5
263,1.0,301,109,60,60
264,1.0,902,119,60.6,61.2
265,1.0,1502,109,62,56
266,1.0,102,130,63.5,62.1
267,1.0,301,114,61,63
268,1.0,301,142,67,65
269,1.0,102,159,66,66.1
270,1.0,301,79,54,55
271,1.0,102,125,61.2,60.4
272,1.0,301,142,65,68
273,1.0,301,104,59,59
274,1.0,301,100,58,60
275,1.0,1502,165,67,70
276,1.0,301,95,54,57
277,1.0,301,99,59,56
278,1.0,102,137,61.2,63.6
279,1.0,1502,133,65,61
280,1.0,301,101,56,61
281,1.0,902,210,73,75.1
282,1.0,301,115,61,58
283,1.0,1502,120,62,59
284,1.0,1002,190,72.1,73.6
285,1.0,301,160,64,70
286,1.0,301,79,48,63
287,1.0,1502,95,57,55
288,1.0,301,85,54,54
289,1.0,301,89,55,56
290,1.0,1502,108,62,59
291,1.0,301,161,60,70
292,1.0,902,149,65.4,66
293,1.0,902,204,72.2,72.2
294,1.0,1502,110,62,59
295,1.0,1502,117,60,56
296,1.0,1002,188,71.8,71.3
297,1.0,1002,255,74.9,86.1
298,1.0,1502,128,59,61
299,1.0,1502,97,58,54
300,1.0,1002,170,67.5,70.1
301,1.0,102,151,66.5,65.8
302,1.0,301,108,57,61
303,1.0,102,120,63.4,61.8
304,1.0,1502,115,60,58
305,1.0,1502,161,68,69
306,1.0,301,96,55,57
307,1.0,301,123,60,62
308,1.0,902,134,65,63.1
309,1.0,301,112,61,57
310,1.0,301,127,61,67
311,1.0,301,144,65,68
312,1.0,301,104,60,54
313,1.0,301,98,55,56
314,1.0,902,148,64.1,65.9
315,1.0,301,165,70,70
316,1.0,102,123,62.1,60.4
317,1.0,1502,96,59,57
318,1.0,301,128,59,68
319,1.0,102,107,60.4,58.3
320,1.0,1502,173,68,71
321,1.0,301,138,64,63
322,1.0,102,134,65.4,62.6
323,1.0,102,119,60.3,59.1
324,1.0,301,85,57,53
325,1.0,301,125,60,62
326,1.0,1502,111,59,58
327,1.0,1502,106,59,57
328,1.0,1502,188,70,73
329,1.0,301,105,56,58
330,1.0,102,170,59.1,58.2
331,1.0,102,153,75.5,67.3
332,1.0,1502,141,65,66
333,1.0,1502,71,54,53
334,1.0,301,138,63,64
335,1.0,301,103,56,60
336,1.0,1502,156,67,66
337,1.0,301,117,58,63
338,1.0,102,150,66.5,65.8
339,1.0,102,94,57.3,55.3
340,1.0,102,220,73.7,74.7
341,1.0,902,151,67.2,66.7
342,1.0,1002,160,68.2,69.9
343,1.0,102,136,64.5,62
344,1.0,301,96,57,56
345,1.0,1502,82,55,53
346,1.0,301,86,52,57
347,1.0,102,141,67.2,64.6
348,1.0,1002,192,71.6,72.4
349,1.0,301,156,63,69
350,1.0,1002,161,68.6,70.3
351,1.0,1502,104,60,58
352,1.0,1502,130,62,59
353,1.0,301,78,54,53
354,1.0,301,154,63,67
355,1.0,1502,94,60,57
356,1.0,1002,156,68.8,66.6
357,1.0,1502,106,60,58
358,1.0,1502,157,68,66
359,1.0,102,116,61.4,60.2
360,1.0,102,156,66.4,67.1
361,1.0,301,94,58,56
362,1.0,902,170,66.5,69.9
363,1.0,902,134,65.8,64.9
364,1.0,301,61,50,48
365,1.0,1502,138,61,61
366,1.0,301,96,56,59
367,1.0,1502,92,59,56
368,1.0,301,82,54,51
369,1.0,1002,192,70.8,72
370,1.0,902,144,62.3,65
371,1.0,301,92,55,57
372,1.0,301,114,60,54
373,1.0,301,139,63,65
374,1.0,1002,189,72,71.6
375,1.0,102,159,66.7,67.8
376,1.0,902,181,69.5,69.2
377,1.0,301,101,59,55
378,1.0,1502,87,54,53
379,1.0,301,87,57,54
380,1.0,301,99,57,59
381,1.0,1502,115,62,60
382,1.0,1502,109,60,59
383,1.0,1002,161,69.4,67.8
384,1.0,301,169,65,70
385,1.0,301,105,56,56
386,1.0,1002,94,58,57.1
387,1.0,301,128,63,61
388,1.0,102,117,61.5,61.1
389,1.0,1502,107,60,58
390,1.0,301,117,56,59
391,1.0,902,194,71.3,72
392,1.0,1502,166,71,73
393,1.0,301,96,58,56
394,1.0,1502,85,56,48
395,1.0,301,107,58,58
396,1.0,1002,203,75.5,75.3
397,1.0,1002,164,68.3,68.6
398,1.0,1502,148,70,71
399,1.0,1502,114,62,60
400,1.0,102,145,63.7,63.6
401,1.0,1502,197,77,78
402,1.0,1502,99,56,56
403,1.0,301,76,54,51
404,1.0,1502,119,61,79
405,1.0,102,138,63.7,63.4
406,1.0,301,113,58,61
407,1.0,902,153,66.1,65.9
408,1.0,301,122,63,64
409,1.0,1002,144,65.7,65
410,1.0,102,136,62.8,64.3
411,1.0,301,142,65,67
412,1.0,1002,177,70.1,68.3
413,1.0,102,131,65.5,60.2
414,1.0,301,154,63,68
415,1.0,1002,130,62.8,63.7
416,1.0,1002,232,72.2,72.8
417,1.0,902,163,67.9,66.9
418,1.0,102,117,62,60.7
419,1.0,301,199,70,79
420,1.0,1002,183,71.3,73.7
421,1.0,1002,153,66,63.9
422,1.0,301,89,55,54
423,1.0,1002,148,65.6,67
424,1.0,1002,163,70,62.1
425,1.0,1502,96,59,55
426,1.0,902,167,66.9,69.8
427,1.0,1502,106,61,57
428,1.0,1002,133,63.6,62.3
429,1.0,102,153,65.2,67
430,1.0,102,132,63.2,64.4
431,1.0,1502,139,65,63
432,1.0,902,172,71,69.7
433,1.0,1502,99,59,59
434,1.0,1002,199,72.9,74.8
435,1.0,301,88,56,55
436,1.0,1502,109,60,62
437,1.0,1502,91,58,56
438,1.0,102,170,66.5,68.9
439,1.0,301,100,56,57
440,1.0,1502,141,66,64
441,1.0,301,150,65,67
442,1.0,1502,102,56,54
443,1.0,301,74,51,55
444,1.0,102,145,66.4,65.2
445,1.0,102,126,62.1,63.7
446,1.0,1002,185,71.8,74
447,1.0,301,121,60,60
448,1.0,902,167,67.1,69.4
449,1.0,102,112,60.6,59.7
450,1.0,301,127,60,62
451,1.0,1502,103,60,59
452,1.0,1502,126,61,62
453,1.0,902,156,67.5,66.2
454,1.0,902,197,69.1,76.9
455,1.0,902,164,66.7,67.5
456,1.0,1502,105,59,55
457,1.0,1502,90,57,57
458,1.0,301,130,60,64
459,1.0,902,173,70,70.4
460,1.0,301,42,42,42
461,1.0,902,173,69.3,71.1
462,1.0,1502,122,63,60
463,1.0,301,113,58,58
464,1.0,1502,146,67,70
465,1.0,301,149,63,67
466,1.0,102,112,60.7,58.1
467,1.0,301,132,65,65
468,1.0,902,147,63.9,66.6
469,1.0,301,105,58,58
470,1.0,902,111,60.4,57.3
471,1.0,301,103,58,56
472,1.0,1502,90,54,54
473,1.0,1502,108,61,56
474,1.0,301,113,58,62
475,1.0,1502,101,58,57
476,1.0,301,94,58,53
477,1.0,1502,193,72,75
478,1.0,301,109,60,56
479,1.0,301,115,63,60
480,1.0,902,143,64.7,61
481,1.0,1502,139,65,69
482,1.0,902,144,64.6,66.4
483,1.0,301,147,65,67
484,1.0,301,85,54,54
485,1.0,902,134,65.8,63.7
486,1.0,1502,127,62,62
487,1.0,301,190,68,75
488,1.0,102,118,60.6,60.7
489,1.0,301,121,62,60
490,1.0,102,128,64.2,62.8
491,1.0,301,94,57,55
492,1.0,102,101,58.5,56.1
493,1.0,301,95,56,56
494,1.0,1002,212,74.4,77
495,1.0,1502,100,58,49
496,1.0,102,128,62.9,63.2
497,1.0,1002,192,71,71.3
498,1.0,301,95,56,55
499,1.0,1502,112,62,59
500,1.0,1502,138,63,65
501,1.0,301,109,58,62
502,1.0,1502,120,62,59
503,1.0,902,159,66.1,67.7
504,1.0,1002,145,64,63.9
505,1.0,102,139,65.5,64.2
506,1.0,301,92,58,55
507,1.0,1502,194,74,71
508,1.0,301,109,58,59
509,1.0,102,135,64.7,63.8
510,1.0,102,170,68,69.7
511,1.0,102,136,64,62.1
512,1.0,1502,119,63,61
513,1.0,102,148,65.4,64.3
514,1.0,1502,122,62,61
515,1.0,1502,128,62,62
516,1.0,301,93,55,57
517,1.0,1502,101,58,60
518,1.0,1502,128,63,61
519,1.0,102,175,69.2,69.1
520,1.0,902,169,69.8,69.2
521,1.0,1502,103,62,60
522,1.0,902,136,64.3,62.7
523,1.0,1502,128,64,66
524,1.0,1002,193,72.3,73.4
525,1.0,301,127,58,63
526,1.0,102,98,59.1,55.5
527,1.0,1502,117,62,58
528,1.0,301,158,68,69
529,1.0,301,140,63,66
530,1.0,301,117,59,61
531,1.0,102,113,60.4,60.1
532,1.0,102,139,65.7,62.9
533,1.0,1502,136,64,64
534,1.0,1502,120,60,57
535,1.0,1502,145,65,64
536,1.0,1502,129,62,62
537,1.0,301,92,55,53
538,1.0,102,100,58.1,58.4
539,1.0,102,226,74.1,75.9
540,1.0,1002,173,69.3,72.1
541,1.0,301,92,54,57
542,1.0,301,91,67,63
543,1.0,102,142,65.2,63.9
544,1.0,1502,134,64,66
545,1.0,1502,140,64,67
546,1.0,301,92,57,55
547,1.0,1502,116,62,65
548,1.0,1502,140,66,66
549,1.0,1002,178,71.8,70.1
550,1.0,1502,136,64,65
551,1.0,301,137,65,61
552,1.0,1002,188,71.6,72.1
553,1.0,301,184,68,71
554,1.0,902,184,69.7,71.8
555,1.0,301,106,59,56
556,1.0,301,140,64,67
557,1.0,102,116,61,59.1
558,1.0,102,112,59.7,60.3
559,1.0,102,135,64.1,63
560,1.0,102,112,58,61.1
561,1.0,102,108,60.3,69.1
562,1.0,102,129,63.7,63.6
563,1.0,1502,87,54,53
564,1.0,1502,125,63,63
565,1.0,102,148,65.4,66.1
566,1.0,1502,153,68,69
567,1.0,1502,119,62,58
568,1.0,1502,102,59,55
569,1.0,301,158,65,69
570,1.0,1502,91,56,54
571,1.0,102,144,66.8,65.4
572,1.0,301,101,59,51
573,1.0,1502,150,66,68
574,1.0,1502,180,71,73
575,1.0,1502,122,60,59
576,1.0,301,123,61,62
577,1.0,301,121,62,59
578,1.0,1502,135,65,63
579,1.0,102,96,57.4,56.6
580,1.0,102,136,61.4,63.7
581,1.0,1502,125,66,63
582,1.0,301,176,67,72
583,1.0,301,95,56,57
584,1.0,902,158,68.1,67.2
585,1.0,102,110,60.5,59.4
586,1.0,102,107,58.4,57.5
587,1.0,1002,147,63.1,65
588,1.0,301,94,57,57
589,1.0,301,130,63,64
590,1.0,1502,151,67,66
591,1.0,1502,127,61,63
592,1.0,102,98,56.1,56.2
593,1.0,301,144,64,65
594,1.0,301,98,57,57
595,1.0,1502,100,58,58
596,1.0,301,118,60,59
597,1.0,1502,191,72,74
598,1.0,301,134,62,61
599,1.0,1502,124,63,61
600,1.0,301,122,60,63
601,1.0,301,146,65,66
602,1.0,902,146,64.2,66
603,1.0,1502,111,61,61
604,1.0,1502,127,63,65
605,1.0,1502,77,54,50
606,1.0,1002,218,72.4,76.7
607,3.0,601,118,60.3,58.1
608,2.0,40801,20,54,54
